Group Number,Activity,Timestamp
8,First download of assignment,2021-12-15 07:30:00+00:00
8,Revisit PM Exercise in Moodle,2021-12-15 16:55:00+00:00
8,Coordinate with Assignment Group,2021-12-15 17:14:00+00:00
8,Solve tasks together,2021-12-16 08:02:00+00:00
8,Recheck/Compare Task Results,2021-12-16 08:08:00+00:00
8,Submit results,2021-12-16 08:16:00+00:00
23,First download of assignment,2021-12-16 07:30:00+00:00
23,Revisit PM Exercise in Moodle,2021-12-16 11:08:00+00:00
23,Solve tasks together,2021-12-16 11:49:00+00:00
23,Coordinate with Assignment Group,2021-12-16 11:51:00+00:00
23,Recheck/Compare Task Results,2021-12-16 11:56:00+00:00
23,Submit results,2021-12-16 13:03:00+00:00
27,First download of assignment,2021-12-16 07:30:00+00:00
27,Revisit PM Exercise in Moodle,2021-12-16 11:23:00+00:00
27,Coordinate with Assignment Group,2021-12-16 11:38:00+00:00
27,Solve tasks individually,2021-12-16 11:55:00+00:00
27,Recheck/Compare Task Results,2021-12-16 13:01:00+00:00
27,Submit results,2021-12-16 13:07:00+00:00
22,First download of assignment,2021-12-16 07:30:00+00:00
22,Revisit PM Exercise in Moodle,2021-12-16 11:50:00+00:00
22,Coordinate with Assignment Group,2021-12-16 13:21:00+00:00
22,Solve tasks together,2021-12-16 13:32:00+00:00
22,Recheck/Compare Task Results,2021-12-16 13:42:00+00:00
22,Submit results,2021-12-16 13:51:00+00:00
21,First download of assignment,2021-12-16 07:30:00+00:00
21,Revisit PM Exercise in Moodle,2021-12-16 13:26:00+00:00
21,Coordinate with Assignment Group,2021-12-16 13:49:00+00:00
21,Solve tasks together,2021-12-16 14:10:00+00:00
21,Recheck/Compare Task Results,2021-12-16 14:19:00+00:00
21,Submit results,2021-12-16 14:24:00+00:00
29,First download of assignment,2021-12-16 07:30:00+00:00
29,Revisit PM Exercise in Moodle,2021-12-16 13:41:00+00:00
29,Solve tasks together,2021-12-16 14:16:00+00:00
29,Recheck/Compare Task Results,2021-12-16 14:24:00+00:00
29,Submit results,2021-12-16 14:30:00+00:00
29,Coordinate with Assignment Group,2021-12-16 14:30:00+00:00
26,First download of assignment,2021-12-16 07:30:00+00:00
26,Revisit PM Exercise in Moodle,2021-12-16 15:06:00+00:00
26,Coordinate with Assignment Group,2021-12-16 15:35:00+00:00
26,Solve tasks together,2021-12-16 15:53:00+00:00
26,Recheck/Compare Task Results,2021-12-16 15:58:00+00:00
26,Submit results,2021-12-16 16:07:00+00:00
31,First download of assignment,2021-12-16 07:30:00+00:00
31,Revisit PM Exercise in Moodle,2021-12-16 15:09:00+00:00
31,Coordinate with Assignment Group,2021-12-16 15:31:00+00:00
31,Solve tasks individually,2021-12-16 15:33:00+00:00
31,Recheck/Compare Task Results,2021-12-16 15:43:00+00:00
31,Redo Task(s),2021-12-16 15:50:00+00:00
31,Solve tasks individually,2021-12-16 16:01:00+00:00
31,Recheck/Compare Task Results,2021-12-16 16:09:00+00:00
31,Redo Task(s),2021-12-16 16:16:00+00:00
31,Solve tasks individually,2021-12-16 16:33:00+00:00
31,Recheck/Compare Task Results,2021-12-16 16:40:00+00:00
31,Submit results,2021-12-16 16:48:00+00:00
25,First download of assignment,2021-12-16 07:30:00+00:00
25,Revisit PM Exercise in Moodle,2021-12-16 15:31:00+00:00
25,Coordinate with Assignment Group,2021-12-16 16:09:00+00:00
25,Solve tasks individually,2021-12-16 16:09:00+00:00
25,Recheck/Compare Task Results,2021-12-16 16:16:00+00:00
25,Submit results,2021-12-16 16:24:00+00:00
28,First download of assignment,2021-12-16 07:30:00+00:00
28,Revisit PM Exercise in Moodle,2021-12-16 16:10:00+00:00
28,Coordinate with Assignment Group,2021-12-16 16:34:00+00:00
28,Solve tasks individually,2021-12-16 16:41:00+00:00
28,Recheck/Compare Task Results,2021-12-16 16:51:00+00:00
28,Redo Task(s),2021-12-16 16:57:00+00:00
28,Solve tasks individually,2021-12-16 17:05:00+00:00
28,Recheck/Compare Task Results,2021-12-16 17:10:00+00:00
28,Redo Task(s),2021-12-16 17:17:00+00:00
28,Solve tasks individually,2021-12-16 17:22:00+00:00
28,Recheck/Compare Task Results,2021-12-16 17:29:00+00:00
28,Submit results,2021-12-16 17:35:00+00:00
24,First download of assignment,2021-12-16 07:30:00+00:00
24,Revisit PM Exercise in Moodle,2021-12-16 16:24:00+00:00
24,Coordinate with Assignment Group,2021-12-16 16:41:00+00:00
24,Solve tasks together,2021-12-16 17:25:00+00:00
24,Recheck/Compare Task Results,2021-12-16 17:35:00+00:00
24,Submit results,2021-12-16 17:45:00+00:00
20,First download of assignment,2021-12-16 07:30:00+00:00
20,Revisit PM Exercise in Moodle,2021-12-16 16:46:00+00:00
20,Solve tasks together,2021-12-16 17:05:00+00:00
20,Recheck/Compare Task Results,2021-12-16 17:11:00+00:00
20,Submit results,2021-12-16 17:26:00+00:00
20,Coordinate with Assignment Group,2021-12-16 17:26:00+00:00
30,First download of assignment,2021-12-16 07:30:00+00:00
30,Revisit PM Exercise in Moodle,2021-12-16 17:57:00+00:00
30,Coordinate with Assignment Group,2021-12-17 08:12:00+00:00
30,Solve tasks together,2021-12-17 08:30:00+00:00
30,Recheck/Compare Task Results,2021-12-17 08:37:00+00:00
30,Submit results,2021-12-17 08:46:00+00:00
49,First download of assignment,2021-12-17 07:30:00+00:00
49,Revisit PM Exercise in Moodle,2021-12-17 09:26:00+00:00
49,Solve tasks individually,2021-12-17 09:53:00+00:00
49,Recheck/Compare Task Results,2021-12-17 10:01:00+00:00
49,Coordinate with Assignment Group,2021-12-17 10:08:00+00:00
49,Submit results,2021-12-17 10:11:00+00:00
38,First download of assignment,2021-12-17 07:30:00+00:00
38,Revisit PM Exercise in Moodle,2021-12-17 09:31:00+00:00
38,Solve tasks individually,2021-12-17 09:42:00+00:00
38,Recheck/Compare Task Results,2021-12-17 09:47:00+00:00
38,Redo Task(s),2021-12-17 09:53:00+00:00
38,Coordinate with Assignment Group,2021-12-17 09:59:00+00:00
38,Solve tasks individually,2021-12-17 10:10:00+00:00
38,Recheck/Compare Task Results,2021-12-17 10:18:00+00:00
38,Submit results,2021-12-17 10:24:00+00:00
47,First download of assignment,2021-12-17 07:30:00+00:00
47,Revisit PM Exercise in Moodle,2021-12-17 09:36:00+00:00
47,Solve tasks individually,2021-12-17 09:49:00+00:00
47,Recheck/Compare Task Results,2021-12-17 09:58:00+00:00
47,Coordinate with Assignment Group,2021-12-17 09:59:00+00:00
47,Redo Task(s),2021-12-17 10:07:00+00:00
47,Solve tasks individually,2021-12-17 10:14:00+00:00
47,Recheck/Compare Task Results,2021-12-17 10:21:00+00:00
47,Submit results,2021-12-17 10:27:00+00:00
50,First download of assignment,2021-12-17 07:30:00+00:00
50,Revisit PM Exercise in Moodle,2021-12-17 10:11:00+00:00
50,Solve tasks together,2021-12-17 10:31:00+00:00
50,Coordinate with Assignment Group,2021-12-17 10:37:00+00:00
50,Recheck/Compare Task Results,2021-12-17 10:39:00+00:00
50,Submit results,2021-12-17 10:46:00+00:00
32,First download of assignment,2021-12-17 07:30:00+00:00
32,Revisit PM Exercise in Moodle,2021-12-17 10:14:00+00:00
32,Coordinate with Assignment Group,2021-12-17 10:32:00+00:00
32,Solve tasks together,2021-12-17 11:08:00+00:00
32,Recheck/Compare Task Results,2021-12-17 11:17:00+00:00
32,Submit results,2021-12-17 11:22:00+00:00
46,First download of assignment,2021-12-17 07:30:00+00:00
46,Revisit PM Exercise in Moodle,2021-12-17 11:47:00+00:00
46,Solve tasks together,2021-12-17 13:29:00+00:00
46,Coordinate with Assignment Group,2021-12-17 13:34:00+00:00
46,Recheck/Compare Task Results,2021-12-17 13:34:00+00:00
46,Submit results,2021-12-17 13:44:00+00:00
44,First download of assignment,2021-12-17 07:30:00+00:00
44,Revisit PM Exercise in Moodle,2021-12-17 13:28:00+00:00
44,Solve tasks together,2021-12-17 14:00:00+00:00
44,Recheck/Compare Task Results,2021-12-17 14:08:00+00:00
44,Coordinate with Assignment Group,2021-12-17 14:18:00+00:00
44,Submit results,2021-12-17 14:18:00+00:00
41,First download of assignment,2021-12-17 07:30:00+00:00
41,Revisit PM Exercise in Moodle,2021-12-17 15:01:00+00:00
41,Coordinate with Assignment Group,2021-12-17 15:24:00+00:00
41,Solve tasks together,2021-12-17 15:30:00+00:00
41,Recheck/Compare Task Results,2021-12-17 15:38:00+00:00
41,Redo Task(s),2021-12-17 15:47:00+00:00
41,Solve tasks together,2021-12-17 16:00:00+00:00
41,Recheck/Compare Task Results,2021-12-17 16:07:00+00:00
41,Submit results,2021-12-17 16:15:00+00:00
43,First download of assignment,2021-12-17 07:30:00+00:00
43,Revisit PM Exercise in Moodle,2021-12-17 15:31:00+00:00
43,Solve tasks individually,2021-12-17 15:59:00+00:00
43,Recheck/Compare Task Results,2021-12-17 16:07:00+00:00
43,Coordinate with Assignment Group,2021-12-17 16:14:00+00:00
43,Submit results,2021-12-17 16:16:00+00:00
37,First download of assignment,2021-12-17 07:30:00+00:00
37,Revisit PM Exercise in Moodle,2021-12-17 16:33:00+00:00
37,Coordinate with Assignment Group,2021-12-17 17:03:00+00:00
37,Solve tasks together,2021-12-17 17:38:00+00:00
37,Recheck/Compare Task Results,2021-12-17 17:45:00+00:00
37,Submit results,2021-12-17 17:52:00+00:00
34,First download of assignment,2021-12-17 07:30:00+00:00
34,Revisit PM Exercise in Moodle,2021-12-17 16:54:00+00:00
34,Solve tasks together,2021-12-17 17:21:00+00:00
34,Recheck/Compare Task Results,2021-12-17 17:31:00+00:00
34,Coordinate with Assignment Group,2021-12-17 17:33:00+00:00
34,Submit results,2021-12-17 17:39:00+00:00
39,First download of assignment,2021-12-17 07:30:00+00:00
39,Revisit PM Exercise in Moodle,2021-12-17 17:02:00+00:00
39,Coordinate with Assignment Group,2021-12-17 17:42:00+00:00
39,Solve tasks together,2021-12-17 17:44:00+00:00
39,Recheck/Compare Task Results,2021-12-17 17:50:00+00:00
39,Submit results,2021-12-17 17:59:00+00:00
45,First download of assignment,2021-12-17 07:30:00+00:00
45,Revisit PM Exercise in Moodle,2021-12-17 17:20:00+00:00
45,Coordinate with Assignment Group,2021-12-17 17:40:00+00:00
45,Solve tasks together,2021-12-17 17:53:00+00:00
45,Recheck/Compare Task Results,2021-12-20 08:00:00+00:00
45,Submit results,2021-12-20 08:07:00+00:00
36,First download of assignment,2021-12-17 07:30:00+00:00
36,Revisit PM Exercise in Moodle,2021-12-17 17:38:00+00:00
36,Solve tasks together,2021-12-20 08:18:00+00:00
36,Coordinate with Assignment Group,2021-12-20 08:21:00+00:00
36,Recheck/Compare Task Results,2021-12-20 08:25:00+00:00
36,Submit results,2021-12-20 08:32:00+00:00
42,First download of assignment,2021-12-17 07:30:00+00:00
42,Revisit PM Exercise in Moodle,2021-12-17 17:48:00+00:00
42,Solve tasks individually,2021-12-20 08:21:00+00:00
42,Coordinate with Assignment Group,2021-12-20 08:24:00+00:00
42,Recheck/Compare Task Results,2021-12-20 08:27:00+00:00
42,Redo Task(s),2021-12-20 08:35:00+00:00
42,Solve tasks individually,2021-12-20 08:40:00+00:00
42,Recheck/Compare Task Results,2021-12-20 08:50:00+00:00
42,Redo Task(s),2021-12-20 08:55:00+00:00
42,Solve tasks individually,2021-12-20 09:06:00+00:00
42,Recheck/Compare Task Results,2021-12-20 09:14:00+00:00
42,Submit results,2021-12-20 09:24:00+00:00
54,First download of assignment,2021-12-20 07:30:00+00:00
54,Revisit PM Exercise in Moodle,2021-12-20 08:18:00+00:00
54,Solve tasks individually,2021-12-20 08:46:00+00:00
54,Coordinate with Assignment Group,2021-12-20 08:52:00+00:00
54,Recheck/Compare Task Results,2021-12-20 08:52:00+00:00
54,Submit results,2021-12-20 08:58:00+00:00
69,First download of assignment,2021-12-20 07:30:00+00:00
69,Revisit PM Exercise in Moodle,2021-12-20 09:50:00+00:00
69,Coordinate with Assignment Group,2021-12-20 10:28:00+00:00
69,Solve tasks together,2021-12-20 10:32:00+00:00
69,Recheck/Compare Task Results,2021-12-20 10:40:00+00:00
69,Submit results,2021-12-20 10:48:00+00:00
68,First download of assignment,2021-12-20 07:30:00+00:00
68,Revisit PM Exercise in Moodle,2021-12-20 10:18:00+00:00
68,Coordinate with Assignment Group,2021-12-20 10:43:00+00:00
68,Solve tasks individually,2021-12-20 10:44:00+00:00
68,Recheck/Compare Task Results,2021-12-20 10:49:00+00:00
68,Submit results,2021-12-20 10:58:00+00:00
67,First download of assignment,2021-12-20 07:30:00+00:00
67,Revisit PM Exercise in Moodle,2021-12-20 11:04:00+00:00
67,Solve tasks together,2021-12-20 11:32:00+00:00
67,Recheck/Compare Task Results,2021-12-20 11:41:00+00:00
67,Coordinate with Assignment Group,2021-12-20 11:43:00+00:00
67,Submit results,2021-12-20 11:49:00+00:00
65,First download of assignment,2021-12-20 07:30:00+00:00
65,Revisit PM Exercise in Moodle,2021-12-20 11:20:00+00:00
65,Solve tasks together,2021-12-20 11:37:00+00:00
65,Recheck/Compare Task Results,2021-12-20 11:46:00+00:00
65,Coordinate with Assignment Group,2021-12-20 11:51:00+00:00
65,Submit results,2021-12-20 11:55:00+00:00
70,First download of assignment,2021-12-20 07:30:00+00:00
70,Revisit PM Exercise in Moodle,2021-12-20 11:43:00+00:00
70,Coordinate with Assignment Group,2021-12-20 13:13:00+00:00
70,Solve tasks together,2021-12-20 13:54:00+00:00
70,Recheck/Compare Task Results,2021-12-20 14:01:00+00:00
70,Submit results,2021-12-20 14:10:00+00:00
57,First download of assignment,2021-12-20 07:30:00+00:00
57,Revisit PM Exercise in Moodle,2021-12-20 14:09:00+00:00
57,Solve tasks individually,2021-12-20 14:29:00+00:00
57,Coordinate with Assignment Group,2021-12-20 14:34:00+00:00
57,Recheck/Compare Task Results,2021-12-20 14:38:00+00:00
57,Submit results,2021-12-20 14:44:00+00:00
66,First download of assignment,2021-12-20 07:30:00+00:00
66,Revisit PM Exercise in Moodle,2021-12-20 14:42:00+00:00
66,Coordinate with Assignment Group,2021-12-20 15:26:00+00:00
66,Solve tasks together,2021-12-20 15:29:00+00:00
66,Recheck/Compare Task Results,2021-12-20 15:35:00+00:00
66,Submit results,2021-12-20 15:41:00+00:00
60,First download of assignment,2021-12-20 07:30:00+00:00
60,Revisit PM Exercise in Moodle,2021-12-20 14:47:00+00:00
60,Coordinate with Assignment Group,2021-12-20 15:11:00+00:00
60,Solve tasks individually,2021-12-20 15:20:00+00:00
60,Recheck/Compare Task Results,2021-12-20 15:30:00+00:00
60,Submit results,2021-12-20 15:37:00+00:00
56,First download of assignment,2021-12-20 07:30:00+00:00
56,Revisit PM Exercise in Moodle,2021-12-20 15:19:00+00:00
56,Solve tasks together,2021-12-20 15:37:00+00:00
56,Recheck/Compare Task Results,2021-12-20 15:42:00+00:00
56,Coordinate with Assignment Group,2021-12-20 15:44:00+00:00
56,Submit results,2021-12-20 15:49:00+00:00
64,First download of assignment,2021-12-20 07:30:00+00:00
64,Revisit PM Exercise in Moodle,2021-12-20 15:32:00+00:00
64,Solve tasks individually,2021-12-20 15:51:00+00:00
64,Coordinate with Assignment Group,2021-12-20 15:55:00+00:00
64,Recheck/Compare Task Results,2021-12-20 15:59:00+00:00
64,Submit results,2021-12-20 16:08:00+00:00
59,First download of assignment,2021-12-20 07:30:00+00:00
59,Revisit PM Exercise in Moodle,2021-12-20 15:47:00+00:00
59,Solve tasks together,2021-12-20 16:03:00+00:00
59,Recheck/Compare Task Results,2021-12-20 16:09:00+00:00
59,Coordinate with Assignment Group,2021-12-20 16:16:00+00:00
59,Submit results,2021-12-20 16:18:00+00:00
61,First download of assignment,2021-12-20 07:30:00+00:00
61,Revisit PM Exercise in Moodle,2021-12-20 16:02:00+00:00
61,Coordinate with Assignment Group,2021-12-20 16:25:00+00:00
61,Solve tasks individually,2021-12-20 16:48:00+00:00
61,Recheck/Compare Task Results,2021-12-20 16:57:00+00:00
61,Submit results,2021-12-20 17:07:00+00:00
52,First download of assignment,2021-12-20 07:30:00+00:00
52,Revisit PM Exercise in Moodle,2021-12-20 16:05:00+00:00
52,Solve tasks together,2021-12-20 16:50:00+00:00
52,Coordinate with Assignment Group,2021-12-20 16:53:00+00:00
52,Recheck/Compare Task Results,2021-12-20 16:55:00+00:00
52,Submit results,2021-12-20 17:02:00+00:00
55,First download of assignment,2021-12-20 07:30:00+00:00
55,Revisit PM Exercise in Moodle,2021-12-20 16:28:00+00:00
55,Coordinate with Assignment Group,2021-12-20 16:49:00+00:00
55,Solve tasks together,2021-12-20 16:52:00+00:00
55,Recheck/Compare Task Results,2021-12-20 16:57:00+00:00
55,Submit results,2021-12-20 17:03:00+00:00
62,First download of assignment,2021-12-20 07:30:00+00:00
62,Revisit PM Exercise in Moodle,2021-12-20 16:40:00+00:00
62,Coordinate with Assignment Group,2021-12-20 17:05:00+00:00
62,Solve tasks together,2021-12-20 17:30:00+00:00
62,Recheck/Compare Task Results,2021-12-20 17:39:00+00:00
62,Submit results,2021-12-20 17:44:00+00:00
63,First download of assignment,2021-12-20 07:30:00+00:00
63,Revisit PM Exercise in Moodle,2021-12-20 16:47:00+00:00
63,Coordinate with Assignment Group,2021-12-20 17:05:00+00:00
63,Solve tasks individually,2021-12-20 17:24:00+00:00
63,Recheck/Compare Task Results,2021-12-20 17:33:00+00:00
63,Redo Task(s),2021-12-20 17:43:00+00:00
63,Solve tasks individually,2021-12-21 08:01:00+00:00
63,Recheck/Compare Task Results,2021-12-21 08:07:00+00:00
63,Submit results,2021-12-21 08:17:00+00:00
53,First download of assignment,2021-12-20 07:30:00+00:00
53,Revisit PM Exercise in Moodle,2021-12-20 17:38:00+00:00
53,Coordinate with Assignment Group,2021-12-21 08:16:00+00:00
53,Solve tasks together,2021-12-21 08:45:00+00:00
53,Recheck/Compare Task Results,2021-12-21 08:55:00+00:00
53,Submit results,2021-12-21 09:00:00+00:00
58,First download of assignment,2021-12-20 07:30:00+00:00
58,Revisit PM Exercise in Moodle,2021-12-21 08:02:00+00:00
58,Solve tasks together,2021-12-21 08:20:00+00:00
58,Coordinate with Assignment Group,2021-12-21 08:25:00+00:00
58,Recheck/Compare Task Results,2021-12-21 08:27:00+00:00
58,Submit results,2021-12-21 08:36:00+00:00
79,First download of assignment,2021-12-21 07:30:00+00:00
79,Revisit PM Exercise in Moodle,2021-12-21 08:09:00+00:00
79,Coordinate with Assignment Group,2021-12-21 08:40:00+00:00
79,Solve tasks together,2021-12-21 08:55:00+00:00
79,Recheck/Compare Task Results,2021-12-21 09:01:00+00:00
79,Submit results,2021-12-21 09:11:00+00:00
85,First download of assignment,2021-12-21 07:30:00+00:00
85,Revisit PM Exercise in Moodle,2021-12-21 09:17:00+00:00
85,Solve tasks individually,2021-12-21 09:25:00+00:00
85,Recheck/Compare Task Results,2021-12-21 09:31:00+00:00
85,Redo Task(s),2021-12-21 09:38:00+00:00
85,Coordinate with Assignment Group,2021-12-21 09:41:00+00:00
85,Solve tasks individually,2021-12-21 09:54:00+00:00
85,Recheck/Compare Task Results,2021-12-21 10:01:00+00:00
85,Submit results,2021-12-21 10:09:00+00:00
87,First download of assignment,2021-12-21 07:30:00+00:00
87,Revisit PM Exercise in Moodle,2021-12-21 09:24:00+00:00
87,Coordinate with Assignment Group,2021-12-21 09:39:00+00:00
87,Solve tasks individually,2021-12-21 09:46:00+00:00
87,Recheck/Compare Task Results,2021-12-21 09:52:00+00:00
87,Submit results,2021-12-21 09:58:00+00:00
75,First download of assignment,2021-12-21 07:30:00+00:00
75,Revisit PM Exercise in Moodle,2021-12-21 09:27:00+00:00
75,Coordinate with Assignment Group,2021-12-21 09:50:00+00:00
75,Solve tasks together,2021-12-21 10:45:00+00:00
75,Recheck/Compare Task Results,2021-12-21 10:54:00+00:00
75,Submit results,2021-12-21 10:59:00+00:00
81,First download of assignment,2021-12-21 07:30:00+00:00
81,Revisit PM Exercise in Moodle,2021-12-21 09:29:00+00:00
81,Coordinate with Assignment Group,2021-12-21 09:45:00+00:00
81,Solve tasks individually,2021-12-21 09:53:00+00:00
81,Recheck/Compare Task Results,2021-12-21 09:59:00+00:00
81,Redo Task(s),2021-12-21 10:09:00+00:00
81,Solve tasks individually,2021-12-21 10:18:00+00:00
81,Recheck/Compare Task Results,2021-12-21 10:26:00+00:00
81,Redo Task(s),2021-12-21 10:36:00+00:00
81,Solve tasks individually,2021-12-21 10:53:00+00:00
81,Recheck/Compare Task Results,2021-12-21 11:01:00+00:00
81,Submit results,2021-12-21 11:10:00+00:00
82,First download of assignment,2021-12-21 07:30:00+00:00
82,Revisit PM Exercise in Moodle,2021-12-21 09:34:00+00:00
82,Coordinate with Assignment Group,2021-12-21 09:58:00+00:00
82,Solve tasks together,2021-12-21 10:00:00+00:00
82,Recheck/Compare Task Results,2021-12-21 10:07:00+00:00
82,Submit results,2021-12-21 10:16:00+00:00
76,First download of assignment,2021-12-21 07:30:00+00:00
76,Revisit PM Exercise in Moodle,2021-12-21 11:23:00+00:00
76,Solve tasks individually,2021-12-21 11:49:00+00:00
76,Recheck/Compare Task Results,2021-12-21 11:56:00+00:00
76,Coordinate with Assignment Group,2021-12-21 13:06:00+00:00
76,Submit results,2021-12-21 13:06:00+00:00
88,First download of assignment,2021-12-21 07:30:00+00:00
88,Revisit PM Exercise in Moodle,2021-12-21 11:47:00+00:00
88,Solve tasks together,2021-12-21 13:16:00+00:00
88,Recheck/Compare Task Results,2021-12-21 13:23:00+00:00
88,Submit results,2021-12-21 13:37:00+00:00
88,Coordinate with Assignment Group,2021-12-21 13:37:00+00:00
74,First download of assignment,2021-12-21 07:30:00+00:00
74,Revisit PM Exercise in Moodle,2021-12-21 13:48:00+00:00
74,Coordinate with Assignment Group,2021-12-21 14:09:00+00:00
74,Solve tasks together,2021-12-21 14:21:00+00:00
